ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
ukraine-france-brazhnikov-izolyatsia,Yevhen Brazhnikov (Izolyatsia torture prison — Ukraine),PNAT / juge d'instruction,France,PNAT — Parquet national antiterroriste / juge d'instruction,2026-05-09,2026,Ukraine,Crimes against humanity; War crimes; Complicity in CAH and war crimes,Universal jurisdiction (Art. 689-11 CPP),criminal,"Indicted, pre-trial detention",ongoing,No,French,PNAT / OCLCH,Ukrainian pro-Russian separatist arrested in France and indicted for atrocities against Ukrainian detainees at the Izolyatsia torture prison in Russian-occupied Donetsk. First case formally referred by Ukrainian authorities to a third state under universal jurisdiction.,First Ukraine UJ referral to a third state | Izolyatsia detention site accountability | Art. 689-11 CPP applied to Ukraine,,FIDH (https://www.fidh.org),,,,,,,0,FIDH — Brazhnikov arrested in France: https://www.fidh.org/en/issues/international-justice/universal-jurisdiction/ukrainian-pro-russian-separatist-yevhen-brazhnikov-arrested-in-france | RFI — Pro-Russian separatist held in France: https://www.rfi.fr/en/france/20260509-pro-russian-separatist-held-in-france-over-ukraine-torture-claims
ukraine-germany-dieter-s-dpr,Dieter S. (German-Russian DPR fighter — Ukraine),GBA indictment,Germany,Munich Higher Regional Court (OLG München) — State Security Chamber,2024-10-31,2024,Ukraine,Membership in a foreign terrorist organisation (DPR); Preparing a serious violent offence endangering the state,Active nationality (German citizen); § 129b StGB,criminal,Indicted,ongoing,No,German,GBA / ZBKV,German-Russian national indicted by the GBA for serving as a DPR fighter at Donetsk Airport and Marinka (Dec 2014 – Aug 2016). First Ukraine-related indictment before a German court.,First German Ukraine indictment | DPR designated as terrorist organisation | Active nationality basis,,,,,,,,,0,GBA — Press release 31 Oct 2024 (EN): https://www.generalbundesanwalt.de/SharedDocs/Pressemitteilungen/EN/2024/Pressemitteilung-vom-31-10-2024-1-engl.html
ukraine-germany-structural-gba,Structural investigation — Russian conduct in Ukraine (Germany),GBA structural file,Germany,Generalbundesanwalt (GBA) — Federal Prosecutor General,2022-03-08,2022,Ukraine,War crimes; Crimes against humanity; Crime of aggression,Universal jurisdiction (§ 1 VStGB),criminal,Ongoing structural investigation,ongoing,No,German,GBA / ZBKV,"GBA opened a broad structural investigation into Russian war crimes, CAH and the crime of aggression in Ukraine in March 2022. Largest extraterritorial Ukraine probe in Europe by volume; ECCHR and partner NGOs have filed UJ criminal complaints targeting Rusich and Wagner commanders for atrocities at Bucha and elsewhere.",VStGB structural investigation | Crime of aggression jurisdiction | ECCHR/NGO complaints on Wagner/Rusich,,ECCHR (https://www.ecchr.eu),,,,,,,0,GRC UJ Handbook (June 2025) — Germany section: https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf | ECCHR / TRIAL — UJAR 2025: https://www.ecchr.eu/fileadmin/Publikationen/03_TRIAL_UJAR_2025_FINAL_DIGITAL.pdf | GBA — Press release 18 Apr 2024 (DPR arrests): https://www.generalbundesanwalt.de/SharedDocs/Pressemitteilungen/EN/2024/Pressemitteilung-vom-18-04-2024-Engl.html
ukraine-france-structural-oclch,Structural investigation — Russian conduct in Ukraine (France),PNAT / OCLCH,France,PNAT — Parquet national antiterroriste / OCLCH,2022-04-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction (Art. 689-11 CPP); Passive personality (French nationals killed),criminal,Ongoing structural investigation,ongoing,No,French,PNAT / OCLCH,"OCLCH (gendarmerie war crimes unit) opened structural investigations into Russian war crimes in Ukraine from April 2022. Separate passive personality track for French nationals killed in Ukraine (journalists Frédéric Leclerc-Imhoff, etc.).",Dual UJ + passive personality basis | OCLCH evidence-collection missions in Ukraine,,,,,,,,,0,Gendarmerie — OCLCH on Ukraine war crimes: https://www.gendarmerie.interieur.gouv.fr/gendinfo/actualites/2022/les-gendarmes-de-l-oclch-enquetent-sur-les-crimes-de-guerre-en-ukraine
ukraine-sweden-structural,Structural investigation — Russian conduct in Ukraine (Sweden),NOA War Crimes Unit,Sweden,Swedish Police Authority — NOA War Crimes Unit,2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,"Universal jurisdiction (Swedish Penal Code Ch. 2, § 3(6); International Crimes Act 2014)",criminal,Ongoing structural investigation,ongoing,No,Swedish,,Sweden's National Police war crimes unit opened a structural investigation into Russian conduct in Ukraine in March 2022. Sweden is among the most active UJ prosecutors in Europe.,Structural investigation | International Crimes Act 2014,,,,,,,,,0,GRC UJ Handbook (June 2025) — Sweden section: https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf | Wikipedia — UJ investigations of Ukraine war crimes: https://en.wikipedia.org/wiki/Universal_jurisdiction_investigations_of_war_crimes_in_Ukraine
ukraine-netherlands-structural,Structural investigation — Russian conduct in Ukraine (Netherlands),OM — Team Internationale Misdrijven,Netherlands,Openbaar Ministerie — TIM (International Crimes Unit),2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction (Wet Internationale Misdrijven); Passive personality (Dutch victims),criminal,Ongoing structural investigation,ongoing,No,Dutch,,Dutch TIM opened investigations into Russian conduct in Ukraine. The Netherlands is a key institutional supporter of UJ efforts through Eurojust coordination and bilateral JIT support.,TIM structural investigation | Eurojust coordination hub,,,,,,,,,0,GRC UJ Handbook (June 2025) — Netherlands section: https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf
ukraine-norway-kripos,Structural investigation — Russian conduct in Ukraine (Norway),Kripos War Crimes Unit,Norway,"Kripos — National Criminal Investigation Service, War Crimes Unit",2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction (Norwegian Penal Code §§ 101–107),criminal,Ongoing structural investigation,ongoing,No,Norwegian,,Kripos war crimes unit opened investigations into Russian conduct in Ukraine. Norway runs parallel national proceedings outside the Eurojust JIT framework.,Non-JIT national track | Broad Norwegian UJ,,,,,,,,,0,GRC UJ Handbook (June 2025) — Norway section: https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf
ukraine-switzerland-oag,Structural investigation — Russian conduct in Ukraine (Switzerland),OAG / MPC,Switzerland,Office of the Attorney General of Switzerland (OAG / MPC),2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,"Universal jurisdiction (Swiss Criminal Code, Art. 264m)",criminal,Ongoing structural investigation,ongoing,No,French/German,,Swiss OAG opened investigations into Russian conduct in Ukraine. Switzerland has strong UJ legislation and a well-resourced international crimes unit. OAG annual report 2025 notes Ukraine-related proceedings.,Art. 264m StGB applied | OAG annual report 2025,,TRIAL International (https://trialinternational.org),,,,,,,0,GRC UJ Handbook (June 2025) — Switzerland section: https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf | TRIAL International — OAG: https://trialinternational.org/judicial-body/office-of-the-attorney-general-of-switzerland/
ukraine-spain-audiencia-nacional,Structural investigation — Russian conduct in Ukraine (Spain),Audiencia Nacional,Spain,Audiencia Nacional,2022-03-01,2022,Ukraine,War crimes; Crimes against humanity; Genocide,"Universal jurisdiction (Organic Law 1/2014, as amended)",criminal,Ongoing structural investigation,ongoing,No,Spanish,,Audiencia Nacional investigating magistrates opened a UJ investigation into Russian conduct in Ukraine shortly after the Feb 2022 invasion. Spanish law allows broad UJ for IHL crimes.,Broad UJ for IHL violations | Audiencia Nacional jurisdiction,,,,,,,,,0,Wikipedia — UJ investigations of Ukraine war crimes: https://en.wikipedia.org/wiki/Universal_jurisdiction_investigations_of_war_crimes_in_Ukraine
ukraine-lithuania-kvedaravicius,Lithuania — Ukraine investigations (incl. Kvedaravičius),Prosecutor General's Office,Lithuania,Lithuanian Prosecutor General's Office,2022-04-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction; Passive personality (Lithuanian filmmaker Mantas Kvedaravičius killed in Mariupol),criminal,Ongoing investigation,ongoing,No,Lithuanian,,Lithuania opened UJ investigations into Russian conduct in Ukraine from Feb 2022. Separate track for the killing of Lithuanian documentary filmmaker Kvedaravičius in Mariupol (Apr 2022). Lithuania is a founding member of the Eurojust JIT on Ukraine.,Kvedaravičius passive personality track | Eurojust JIT member,,,,,,,,,0,Eurojust — Three years of full-scale invasion: https://www.eurojust.europa.eu/news/three-years-full-scale-invasion-ukraine-concrete-steps-supported-eurojust-road-accountability
ukraine-poland-ipn,Poland — Ukraine investigations (IPN / National Prosecutor),IPN / Prokuratura Krajowa,Poland,Polish National Prosecutor's Office / Institute of National Remembrance (IPN),2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction,criminal,Ongoing investigation,ongoing,No,Polish,,IPN and the National Prosecutor's Office are conducting parallel UJ investigations into Russian conduct in Ukraine. Poland is a founding member of the Eurojust JIT.,IPN parallel track | Eurojust JIT founding member,,,,,,,,,0,Eurojust — Four years of full-scale invasion: https://www.eurojust.europa.eu/news/four-years-full-scale-invasion-continuing-road-accountability-ukraine
ukraine-estonia-jit,Estonia — Ukraine investigations (JIT member),Prosecutor General / KAPO,Estonia,Estonian Prosecutor General's Office,2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction,criminal,Ongoing investigation,ongoing,No,Estonian,,Estonia is a founding member of the Eurojust-coordinated JIT on Ukraine core international crimes. National investigations ongoing alongside JIT work.,JIT founding member,,,,,,,,,0,Eurojust — JIT continues with focus on illegal transfer of Ukrainian children: https://www.eurojust.europa.eu/news/joint-investigation-team-continues-work-added-focus-illegal-transfer-ukrainian-children
ukraine-latvia-jit,Latvia — Ukraine investigations (JIT member),Prosecutor General's Office,Latvia,Latvian Prosecutor General's Office,2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction,criminal,Ongoing investigation,ongoing,No,Latvian,,Latvia is a founding JIT member at Eurojust; national investigations ongoing in parallel.,JIT founding member,,,,,,,,,0,Eurojust — JIT update: https://www.eurojust.europa.eu/news/joint-investigation-team-continues-work-added-focus-illegal-transfer-ukrainian-children
ukraine-romania-jit,Romania — Ukraine investigations (JIT member),Prosecutor General's Office,Romania,Romanian Prosecutor General's Office,2022-03-01,2022,Ukraine,War crimes; Crimes against humanity,Universal jurisdiction,criminal,Ongoing investigation,ongoing,No,Romanian,,Romania joined the Eurojust Ukraine JIT as a founding member; national investigations ongoing.,JIT founding member,,,,,,,,,0,Eurojust — Four years of full-scale invasion: https://www.eurojust.europa.eu/news/four-years-full-scale-invasion-continuing-road-accountability-ukraine
